42	09-02-2020 16:50:29
42	09-02-2020 18:18:55
42	09-02-2020 19:01:13
42	11-02-2020 18:41:26
42	11-02-2020 18:56:44
42	11-02-2020 22:24:02
42	12-02-2020 18:06:40
43	12-02-2020 19:32:27
43	12-02-2020 19:49:40
42	12-02-2020 22:07:07
42	13-02-2020 18:22:07
42	13-02-2020 18:46:13
42	14-02-2020 17:54:49
42	14-02-2020 18:08:28
42	14-02-2020 18:14:40
42	15-02-2020 10:58:24
42	15-02-2020 14:16:00
42	15-02-2020 14:16:47
42	15-02-2020 14:20:38
42	16-02-2020 21:52:33
42	17-02-2020 11:47:43
42	18-02-2020 17:34:19
42	18-02-2020 18:16:19
42	27-04-2020 16:30:05
42	27-04-2020 16:30:12
42	27-04-2020 16:30:30
42	27-04-2020 16:31:23
42	27-04-2020 16:32:35
42	27-04-2020 16:33:26
42	27-04-2020 16:36:45
42	27-04-2020 16:37:28
42	27-04-2020 16:39:29
42	27-04-2020 16:40:18
42	27-04-2020 16:43:29
42	27-04-2020 16:44:14
42	27-04-2020 16:45:00
42	27-04-2020 16:45:52
42	27-04-2020 16:46:45
42	27-04-2020 16:47:50
42	27-04-2020 16:48:33
42	27-04-2020 16:49:11
42	27-04-2020 16:49:27
42	27-04-2020 16:50:19
